[[ 5.27168641]]
[[ 31.3400487]]
[[ 19.0326097]]
[[ 9.16107237]]
[[ 0.89128403]]
[[ 5.0648612]]
[[ 174.90977986]]
[[ 0.27198678]]
[[ 73.48391635]]
[[ 0.36961018]]
[[ 3.6498076]]
[[ 4.09350376]]
[[ 0.08016081]]
[[ 0.02100161]]
[[ 14.54282999]]
[[ 7.4922715]]
[[ 3.87286908]]
[[ 63.75602716]]
[[ 117.8692372]]
[[ 0.50639367]]
[[ 3.22183083]]
[[ 37.87689332]]
[[ 3.88062819]]
[[ 104.81775805]]
[[ 78.28888064]]
[[ 26.84969678]]
[[ 15.45024485]]
[[ 8.09236889]]
[[ 140.07353006]]
[[ 125.78184785]]
[[ 3.6547787]]
[[ 11.96564486]]
[[ 66.89133941]]
[[ 22.59866493]]
[[ 23.29281999]]
[[ 33.49485636]]
[[ 0.58320612]]
[[ 2.3838564]]
[[ 0.58414107]]
[[ 16.70036933]]
[[ 0.0730132]]
[[ 95.44641619]]
[[ 20.08320032]]
[[ 24.03976329]]
[[ 46.2955522]]
[[ 3.94494953]]
[[ 2.0773657]]
[[ 24.39610639]]
[[ 58.27917034]]
[[ 0.24091213]]
[[ 72.38379591]]
[[ 48.91705055]]
[[ 25.3555524]]
[[ 4.67188972]]
[[ 51.70447942]]
[[ 4.27932862]]
[[ 0.45090718]]
[[ 15.11153728]]
[[ 97.46745594]]
[[ 153.21559303]]
[[ 133.20976731]]
[[ 54.98418744]]
[[ 11.32246672]]
[[ 4.76918456]]
[[ 119.71636962]]
[[ 1.46076033]]
[[ 2.24498832]]
[[ 14.87639448]]
[[ 6.75559901]]
[[ 71.91194121]]
[[ 29.30309687]]
[[ 3.40627312]]
[[ 67.47360696]]
[[ 0.89232513]]
[[ 0.03329312]]
[[ 52.58200851]]
[[ 7.98072618]]
[[ 93.60787644]]
[[ 93.22917577]]
[[ 96.43520747]]
[[ 4.49078561]]
[[ 30.55986793]]
[[ 24.96615427]]
[[ 0.84225131]]
[[ 7.5009999]]
[[ 0.01313468]]
[[ 10.75763102]]
[[ 109.24718983]]
[[ 18.03944978]]
[[ 41.71721736]]
[[ 0.93559189]]
[[ 5.32961095]]
[[ 6.15945633]]
[[ 14.49745465]]
[[ 28.25675322]]
[[ 1.893]]
[[ 0.1046631]]
[[ 154.98929463]]
[[ 106.092668]]
[[ 28.42271564]]
[[ 33.11631544]]
[[ 0.23871235]]
[[ 59.15734639]]
[[ 45.91299659]]
[[ 9.71201478]]
[[ 176.80975199]]
[[ 10.04725553]]
[[ 12.44425884]]
[[ 2.14547095]]
[[ 1.86601785]]
[[ 29.20686492]]
[[ 83.50154119]]
[[ 2.21544003]]
[[ 0.63314471]]
[[ 103.8377935]]
[[ 75.83440223]]
[[ 42.97229036]]
[[  8.07135288e-05]]
[[ 50.47245249]]
[[ 51.64958472]]
[[ 23.63567756]]
[[ 4.22026868]]
[[ 1.0539501]]
[[ 9.42602904]]
[[ 16.16882339]]
[[ 0.87670309]]
[[ 26.75421771]]
[[ 6.38814789]]
[[ 25.24306259]]
[[ 0.04973574]]
[[ 7.56112821]]
[[ 93.38287206]]
[[ 5.73121623]]
[[ 1.0196825]]
[[ 0.91307769]]
[[ 0.18149408]]
[[ 0.72263064]]
[[ 1.50499726]]
[[ 7.34083613]]
[[ 1.74673443]]
[[ 135.80680002]]
[[ 28.36717508]]
[[ 31.41772599]]
[[ 14.94363482]]
[[ 56.20480811]]
[[ 121.46118791]]
[[ 0.62517976]]
[[ 0.34750417]]
[[ 1.23366063]]
[[ 2.79420978]]
[[ 82.82734362]]
[[ 27.44329994]]
[[ 2.74542249]]
[[ 5.40892834]]
[[ 10.40439905]]
[[ 10.32429348]]
[[ 2.05793841]]
[[ 1.47560163]]
[[ 22.68181434]]
[[ 66.47674952]]
[[ 45.04112437]]
[[ 1.54989819]]
[[ 6.0274563]]
[[ 0.53851642]]
[[ 2.21963983]]
[[ 4.71081556]]
[[ 6.72087608]]
[[ 38.76997697]]
[[ 41.35221207]]
[[ 14.76347794]]
[[ 0.40653081]]
[[ 14.20657647]]
[[ 0.09438386]]
[[ 56.49874583]]
[[ 0.0277204]]
[[ 27.89950918]]
[[ 4.74034289]]
[[ 8.73452503]]
[[ 111.92894194]]
[[ 37.3155833]]
[[ 14.40680132]]
[[ 0.07772646]]
[[ 20.01517577]]
[[ 23.66407587]]
[[ 22.51070839]]
[[ 11.76139769]]
[[ 50.39058506]]
[[ 36.64072596]]
[[ 79.08571859]]
[[ 34.96812865]]
[[ 16.98613672]]
[[ 0.23173684]]
[[ 16.08440906]]
[[ 0.86766988]]
[[ 0.4249878]]
[[ 27.04536533]]
[[ 8.11633179]]
[[ 8.35695098]]
[[ 35.07368841]]
[[ 147.25049076]]
[[ 4.7409752]]
[[ 14.82146215]]
[[ 8.99376965]]
[[ 51.51391684]]
[[ 77.99109845]]
[[ 3.10718322]]
[[ 7.32223218]]
[[ 6.223486]]
[[ 0.70527484]]
[[ 6.84623823]]
[[ 3.69642179]]
[[ 0.24474576]]
[[ 0.12400347]]
[[ 0.00904694]]
[[ 29.88723749]]
[[ 9.21192378]]
[[ 1.1029768]]
[[ 10.74282478]]
[[ 0.13440704]]
[[ 5.66713671]]
[[ 1.77655055]]
[[ 8.12251322]]
[[ 1.90816474]]
[[ 24.7544442]]
[[ 6.97814689]]
[[ 67.78829681]]
[[ 3.41543066]]
[[ 3.51405381]]
[[ 3.21420697]]
[[ 1.72894177]]
[[ 0.03275453]]
[[ 78.9749031]]
[[ 4.70392638]]
[[ 43.92048471]]
[[ 2.28560794]]
[[ 68.82533531]]
[[ 1.42772186]]
[[ 1.94015096]]
[[ 0.62633157]]
[[ 14.39234085]]
[[ 11.4412997]]
[[ 1.69683389]]
[[ 6.66195894]]
[[ 12.43358171]]
[[ 57.41695819]]
[[ 10.02052309]]
[[ 12.35706058]]
[[ 23.28854707]]
[[ 35.185847]]
[[ 18.49552137]]
[[ 0.02026397]]
[[ 60.60263335]]
[[ 39.11410293]]
[[ 20.7801976]]
[[ 49.99312522]]
[[ 9.35455511]]
[[ 46.48219591]]
[[ 30.5996441]]
[[ 22.93593928]]
[[ 161.08021221]]
[[ 20.542648]]
[[ 34.38920226]]
[[ 0.4947697]]
[[ 0.00841865]]
[[ 1.33828294]]
[[ 107.25391772]]
[[ 18.66287287]]
[[ 34.301859]]
[[ 1.25818777]]
[[ 0.61397316]]
[[ 0.0573681]]
[[ 79.2439811]]
[[ 4.07106751]]
[[ 35.80793954]]
[[ 10.95442177]]
[[ 0.13487446]]
[[ 1.64431573]]
[[ 25.61298712]]
[[ 5.99073663]]
[[ 3.97052029]]
[[ 6.24521657]]
[[ 79.52728063]]
[[ 15.7624047]]
[[ 142.82015447]]
[[ 6.38015007]]
[[ 32.4123154]]
[[ 5.91724387]]
[[ 4.59646551]]
[[ 75.28984189]]
[[ 15.3040648]]
[[ 23.9357761]]
[[ 0.28466561]]
[[ 24.73408042]]
[[ 20.32033053]]
[[ 7.76102142]]
[[ 6.00835499]]
[[ 41.03801362]]
[[ 0.33382725]]
[[ 123.08480909]]
[[ 0.18339085]]
[[ 59.18019902]]
[[ 1.36739735]]
[[ 0.0860981]]
[[ 89.6093511]]
[[ 27.91448773]]
[[ 8.36861314]]
[[ 78.11548409]]
[[ 0.02690023]]
[[ 43.99394633]]
